abandonable        quittable
amuser             beguiler diverter entertainer charmer
amusing            beguiling diverting entertaining charming
amusingly          pleasantly
amusingness        pleasantness enjoyableness
analogously        likely parallelly
analogousness      likeness relatedness
anchorer           kedger safeguarder
anciently          agedly antiquely
ancientness        agedness venerableness antiqueness
ancienty           venerably
angled             cornered pointed
angler             cornerer guiser pointer offer viewer
angling            guising pointing offing
animally           beastly brutely creaturely livingly thingly
animated           cheered
animatedly         briskly vivaciously spiritedly
animately          cheerly
animater           cheerer enlivener encourager
animating          cheering enlivening encouraging
annexable          addable attachable
annexer            adder attacher affixer
annihilator        eliminator
announceable       tellable proclaimable publishable
announcer          teller proclaimer publisher
annoyance          disturbance
annoyer            vexer teaser harasser disturber molester
annoying           teasing disturbing
annually           seasonally
annullable         repealable revokable
annuller           abolisher repealer revoker
anonymously        namelessly
anonymousness      namelessness
answerable         retortable
answerably         accountably
answerer           responser retorter
antecedence        precedence
anthemy            songy
anticipatable      expectable precedable
apartness          aloneness awayness
apexed             peaked topped
appalling          shocking disgusting revolting
apparently         plainly obviously evidently
apparentness       plainness obviousness visibleness evidentness
appealable         petitionable
appealer           petitioner
appearanced        sighted
appearer           riser seemer looker
appeaser           soother placater
appeasing          mollifying soothing
appendaged         tailed
applaudable        acclaimable commendable
applauder          acclaimer clapper commender cheerer
appointable        prescribable assignable ordainable placeable
appointer          prescriber assigner ordainer placer
appointor          assignor
apportionable      dispensable distributable rationable
apportioner        budgeter dispenser distributer
appraisable        assessable priceable
appraiser          pricer
apprehender        seizer arrester grasper perceiver
appropriately      properly fitly
approvable         acceptable likable supportable recognizable agreeable
approvance         acceptance supportance recognizance
approver           accepter liker supporter recognizer agreer
arched             curved vaulted
archer             curver vaulter
arching            arcing vaulting
archivist          recordist
archy              curvy vaulty
arduously          onerously wearisomely
arduousness        onerousness wearisomeness
arguable           debatable discussable reasonable disputable
arguer             debater discusser reasoner wither disputer
armored            plated mailed
armorer            steeler plater mailer
armory             steely platy
arouser            rouser awakener stirrer exciter
arrangeable        settable
arranger           compiler setter
arrayer            hoster
arrestable         seizable capturable
arrester           seizer apprehender capturer halter
arresting          seizing halting
arrestor           seizor
arrogancy          insolency
arrogantly         domineeringly
artfully           cunningly skillfully
artfulness         cunningness skillfulness
artificer          tricker
artificially       falsely
artlessly          ingenuously naively
artlessness        simpleness ingenuousness naiveness
ascendable         climbable mountable soarable
ascendant          mountant
ascender           climber mounter riser soarer
ascending          climbing mounting rising soaring
ascribable         imputable attributable
asideness          apartness aloofness awayness distantness
aspectable         viewable
assaultable        stormable assailable
assaulter          stormer assailer striker
assemblable        collectable convenable meetable musterable
assembler          convener meeter musterer
assented           noded
assenter           nodder accorder concorder
assenting          nodding according
assertable         avowable declarable sayable claimable
asserter           avower declarer sayer claimer
assessable         valuable appraisable priceable
assessed           valued priced
assessor           estimator
assignable         overable allottable distributable
assigned           handed distributed
assigner           hander allotter distributer
assignor           distributor delegator
assimilator        incorporator
assistance         aidance supportance attendance
assistant          aidant attendant
assister           aider helper supporter attender
associated         combined united
assorted           mixed
assorter           arranger mixer
assumable          supposable takable takable overable
assumed            supposed
assumer            supposer taker taker
assuming           supposing taking taking
astonisher         wonderer
astonishing        amazing wondering astounding
astoundable        surprisable
astounding         amazing stunning surprising
astutely           cleverly shrewdly cunningly
astuteness         cleverness shrewdness cunningness
attachable         annexable fixable connectable
attached           fixed connected
attacher           affixer annexer fastener fixer
attackable         assaultable chargeable
attacker           assaulter charger
attainable         achievable reachable
attainer           achiever accomplisher reacher
attemptable        attackable
attempter          endeavorer essayer attacker
attendant          beant
attender           beer presenter listener
attestable         bearable witnessable deposable
attester           bearer witnesser deposer
attired            dressed
attirer            dresser
attractable        appealable
attracter          appealer lurer adducer
attractively       cutely handsomely nicely pleasantly
attributable       ascribable imputable
attributer         imputer
augmentable        increasable enlargeable
augmented          enlarged extended expanded
augmenter          increaser enlarger extender expander
auspiciously       promisingly propitiously
austerely          harshly sternly severely
austereness        harshness sternness severeness
authenticly        genuinely really
authenticness      genuineness realness
authorizable       sanctionable allowable
authorizer         enabler vester sanctioner allower
autographist       signaturist
automobilist       autoist
available          servable doable sufficeable helpable
averagely          normally meanly
averager           meaner
aversely           loathly reluctantly unwillingly
averseness         loathness unwillingness
avertable          keepable turnable wardable
averted            turned warded
averter            keeper offer turner warder offer
avoidable          evadable
avoider            evader eluder dodger
avowable           declarable confessable assertable
avowant            declarant confessant
avowed             declared
avower             declarer confesser asserter
awaiter            expecter looker forwarder
awardable          prizeable
awarder            prizer
awayness           absentness asideness distantness remoteness
awesomely          impressively solemnly movingly
awesomeness        solemnness terribleness movingness
awfully            dreadfully
awfulness          horribleness dreadfulness
awkwardly          inopportunely
babbler            chatterer prattler gossiper raver
babbling           chattering prattling gossiping raving
babbly             chattery prattly gossipy
backboned          spined
backed             funded
backer             rearer supporter aider promoter funder
backfiring         going
backing            supporting
backwardly         slowly
badger             signer
baffler            foiler frustrater balker blocker
baffling           foiling blocking
bailable           pledgeable
bailage            bondage
bailer             bonder pledger
bailor             pledgeor
baiter             lurer decoyer tempter teaser
baked              fired
baker              roaster cooker hardener firer
baking             roasting cooking hardening drying firing
balder             barer
baldly             barely
baldness           hairlessness treelessness bareness
baler              bundler sorrower
balker             rebeller stoper shyer hinderer thwarter foiler
balky              rebelly
balled             shotted globed
baller             dancer shotter
ballotage          pollage
balloter           voter poller
balloting          voting polling
bally              shotty globy
banally            commonplacely tritely
banded             belted strapped striped zoned
bander             belter strapper striper
banding            belting strapping zoning
bandy              stripy
banger             clapper crasher pounder batterer
banging            clapping pounding
banisher           exiler expeller
banked             sloped vaulted
banker             sloper vaulter
banking            sloping vaulting
banky              slopy vaulty
bannerer           flagger badger
banterer           chaffer ridiculer spoofer
bantery            chaffy
baptizable         nameable
baptizer           sprinkler dipper namer
barbarously        inhumanly rudely savagely brutally fiercely
barbarousness      inhumanness rudeness savageness fierceness
bareness           simpleness
barer              simpler
bargainer          purchaser treater
bargainor          negotiator treator
barker             skinner sheller yelper yapper
barking            skinning shelling yapping
barky              rindy skinny shelly yappy
barrenly           infertilely sterilely
barrenness         infertileness sterileness
barricader         fencer
barterer           exchanger interchanger trader
based              bottomed footed foundationed rooted
bashfully          shyly diffidently timidly modestly
bashfulness        shyness diffidentness timidness modestness
batcher            setter runer lotter
batheable          washable
bather             dipper washer scourer
bathing            dipping washing scouring
bathroomed         toileted headed watered
batterable         smashable beatable destroyable
batterer           smasher beater pounder destroyer
battler            fighter combater contester
bawler             yeller bellower sober
beached            shored
beaded             pelleted balled
beader             dropper baller
beading            dropping
beady              droppy pellety bally
beaked             nosed billed nibbed
beaker             noser biller nibber
beaky              nosey billy nibby
beamage            smileage rayage
beamed             rayed
beamer             shiner glower smiler
beaming            shining glowing smiling gleaming
beamy              shiny smily gleamy
bearable           endurable sufferable renderable yieldable
bearance           endurance sufferance yieldance
bearded            stubbled whiskered goateed
bearder            whiskerer
beardy             stubbly whiskery imperially
bearer             endurer sufferer renderer yielder
bearing            enduring suffering rendering yielding
beastdom           brutedom
beastly            brutely blackguardly animally
beater             throbber stroker
beating            stroking
beautifully        fairly attractively
beautifulness      fairness
becoming           befitting according behooving turning
beery              malty
befitting          suiting fitting becoming
beginner           causer riser budder seeder
beginning          causing rising budding
beguiler           deceiver amuser diverter
beguiling          deceiving amusing diverting
behinder           after
beholdable         seeable watchable observable
beholder           seer looker atter watcher observer
beholding          seeing looking watching observing
belittler          runer downer disparager
bellower           roarer shouter bawler
bellyer            stomacher
bellying           stomaching
belted             banded striped zoned
belter             girdler bander striper encircler
belting            girdling banding zoning
bencher            seater courter barer boarder
benching           seating baring boarding
benchy             barry boardy
bendable           turnable giveable yieldable
bended             curved turned
bender             curver turner giver yielder
bending            turning giving yielding
bendy              curvy givey yieldy
beneficially       usefully helpfully
benefiter          profiter
benignly           graciously
beseecher          implorer asker
beseeching         begging imploring entreating
besetter           attacker studder ornamenter
besetting          studding
besieged           surrounded
besieger           besetter surrounder beleaguerer
besieging          besetting surrounding
bestness           choiceness
betterer           mender reliever
bettering          mending correcting relieving
betterly           correctly
betterness         correctness
betweenness        inness
bewildered         puzzled confused perplexed dazed
bewildering        puzzling perplexing
bickerer           sparer squabbler wrangler arguer
billed             scored
biller             scorer
billing            scoring
billowy            surgy swelly wavey
binder             restrainer securer fastener
binding            restraining fastening
birder             fowler
birding            fowling
bitable            scrapable snappable
biter              scraper nipper snaper sniper stinger
biting             scraping nipping snapping sniping stinging
bitterly           stingingly cuttingly acridly
bitterness         stingingness cuttingness acridness
blackballer        excluder ostracizer rejecter boycotter
blackly            darkly midnightly
blackmailer        extortioner husher moneyer
blackness          darkness
blacky             darky
bladed             edged
blader             edger knifer
blading            edging swording
blady              edgy
blamable           censurable chargeable condemnable
blamed             condemned
blamer             censurer charger condemner
blaming            charging condemning
blandly            mildly tastelessly
blandness          mildness tastelessness
blankly            vacantly vacuously
blankness          vacantness vacuousness
blaster            discharger destroyer
blasting           discharging
blasty             gusty
blatantly          obtrusively
blazer             firer flamer marker spotter
blazing            firing flaming marking spotting
blazoner           proclaimer advertiser
blazoning          proclaiming advertising
blazy              flamy spotty
bleacher           whitener blancher lightener
bleaching          whitening blanching lightening
bleakly            desolately coldly
bleakness          rawness desolateness coldness
bleeder            flower fleecer sufferer
bleeding           flowing suffering
blended            combined mixed
blender            combiner mixer merger
blending           combining
blessed            hallowed consecrated
blesser            hallower consecrater praiser thanker
blessing           praising
blindage           screenage
blinded            screened shaded
blinder            ambusher screener shader
blinding           screening shading
blinker            winker flasher twinkler
blinking           winking flashing twinkling glimmering
blinky             flashy twinkly glimmery
blizzardly         gally
blizzardy          snowy stormy tempesty blasty galey
blobber            dropper bubbler lumper
blobby             droppy bubbly lumpy
bloody             essency sappy gory
bloomage           flowerage
bloomer            flowerer glower maturer
blooming           flowering glowing maturing
bloomy             blossomy flowery
blossomed          flowered
blossomy           bloomy flowery buddy
blotched           spotted
blotchy            spotty blotty
blotter            stainer blemisher spotter smearer
blotting           staining spotting
blotty             spotty smeary
blower             jabber panter puffer stroker winder
blowing            jabbing panting puffing stroking winding
blowy              panty puffy stroky windy
bluffer            tricker
bluffly            trickly
bluffy             cliffy tricky
blunderer          slipper botcher messer
blundering         slipping messing failing erring
blunter            duller deadener number directer
bluntly            numbly directly brusquely
bluntness          dullness numbness directness brusqueness
boarder            paneler
boarding           paneling
boatable           shippable sailable
boatage            shippage sailage
boater             shipper sailer
boating            shipping sailing
boggler            surpriser
boilable           cookable
boiler             cooker
boiling            churning seething cooking
boily              cooky
boisterously       clamorously vociferously
boldly             daringly audaciously forwardly
boldness           daringness audaciousness forwardness
bolsterer          supporter sustainer proper reinforcer
boltage            screwage
bolter             stapler piner lager screwer
bolting            stapling pining lagging screwing
bonded             unioned tied
bonder             tier accorder
bonding            according
bookdom            noveldom
booked             volumed
booky              novelly
boomable           pluggable
boomer             pusher booster plugger drummer
booming            pushing plugging drumming
boomy              pluggy drummy
booster            aider helper assister helper
bordered           edged limited margined rimmed
borderer           edger limiter rimer
bordering          edging limiting margining
boredom            tiredom
borer              driller tirer
boring             drilling penetrating tiring
borrowable         takable makable usable adoptable
borrower           taker maker user offer adopter
borrowing          taking making offing
bosomed            breasted busted hearted closed
bosomer            breaster buster intimater closer
bosomy             hearty
bossdom            managerdom
bossed             knobbed
bosser             knobber studder
bossing            studding
bossy              knobby study managery supervisory
botched            spoiled
botcher            bungler blunderer butcherer marrer spoiler
botchy             butchery mary
botherer           nuisancer annoyancer troubler
bottled            pitchered
bottler            flasker juger
bottomed           based footed foundationed
bottomer           footer soler foundationer
bottoming          footing
bounceable         reboundable
bouncer            rebounder recoiler springer
bouncing           springing
boundable          limitable confineable leapable
bounded            limited confined
bounder            limiter confiner delimiter leaper
bounding           limiting confining leaping
boundlessly        unlimitedly vastly immensely greatly
boundlessness      unlimitedness vastness immenseness greatness
bowler             disher cupper
bowling            cupping
bowly              cuppy
boycotter          shunner blackballer resister
bracer             supporter strengthener proper
bracing            supporting strengthening
brainer            minder
brakeage           checkage stoppage
braker             retarder checker curber downer stoper
braky              checky curby downy
branched           membered armed boughed
brancher           armer
branching          arming
branchy            army boughy
branded            sorted marked
brander            sorter marker
brandy             sorty
bravely            courageously valiantly
braveness          valiantness
breacher           breaker gaper
breachy            gapy
breaker            breacher
breasted           bosomed busted
breaster           bosomer buster chester
breather           lifer
breathy            breezy lifey
breedable          creatable produceable
breeder            producer
breeding           multiplying generating
breezy             breathy drafty zephyry blasty
brewer             cooker steeper fermenter
brewing            cooking
bricking           blocking loafing baring
bricky             blocky barry
bridger            spanner
bridging           spaning trestling
bridled            checked bristled
bridler            curber checker harnesser bristler
bridling           curbing
briefly            shortly succinctly tersely quickly fleetingly
briefness          shortness succinctness terseness quickness fleetingness
brightener         heartener improver clearer upper
brightening        heartening perking improving clearing upping
brightly           brilliantly shiningly glisteningly
brightness         brilliantness shiningness
brilliantly        radiantly luminously cleverly
brilliantness      luminousness cleverness
briming            edging
brimmed            edged rimmed
brimmer            edger rimer
brimming           edging
briner             pickler salter waterer solutioner
bringer            inducer accomplisher achiever
briny              salty watery
briskly            alertly quickly animatedly coolly
briskness          alertness quickness coolness
bristled           haired stubbled sticked
bristler           stander sticker upper
bristly            hairy stubbly sticky
brittlely          crisply frailly weakly
brittleness        crispness frailness weakness
brittling          crisping
broacher           launcher introducer
broadly            widely widespreadly extensively
broadness          wideness extensiveness
brooder            hatcher
brooding           hatching
broomer            brusher besomer whisker
broomy             brushy whisky
brother            stocker
brotherly          friarly kinsmanly
brothy             stocky
browed             foreheaded crested
browner            toaster singer tanner bronzer
browning           singeing tanning bronzing
brownly            singly
browny             toasty singey bronzy
browser            grazer feeder pasturer
browsing           grazing feeding
brushable          grazeable scrapable sweepable
brushed            scraped
brusher            broomer grazer scraper sweeper wiper
brushing           grazing scraping sweeping
brushy             broomy scrapy sweepy
brutage            ruffianage
brutally           cruelly inhumanly coarsely
brutedom           beastdom ruffiandom
brutely            beastly animally ruffianly
bubbler            blobber foamer
bubbling           foaming
bubbly             blobby foamy
bucketer           tuber scooper
bucketing          tubing scooping
buckety            tubby
budger             mover stirrer shifter alterer changer
buildable          makable fashionable erectable
builder            constructer maker fashioner erecter
building           making erecting
bulger             sweller bagger
bulgy              swelly baggy
bulked             sized measured volumed
bulker             sizer measurer
bulky              sizy
bulleted           shotted balled leaded slugged
bullety            shotty bally leady sluggy
bumper             knocker striker hitter
bumping            knocking striking
buncher            crowder grouper bundler
bunchy             crowdy clustery
bundler            buncher baler
bungler            botcher butcherer fumbler blunderer
bungling           butchering fumbling blundering
bungy              corky pluggy
bunker             bedder berther cotter
buoyantly          lightly floatingly
buoyantness        lightness
burdener           loader encumbrancer
burdensomely       onerously oppressively
burnable           singable
burned             singed scorched
burner             charer singer scorcher blazer
burning            singeing scorching blazing
burny              chary singey blazy
burrower           holer tunneler digger miner
burster            breaker render exploder shatterer
burying            covering sinking
bushed             shrubbed thicketed scrubbed
busher             hedger scrubber
bushing            hedging
bushy              shrubby clumpy thickety hedgy scrubby
busted             breasted
buster             arrester breaster
bustler            stirrer rustler flusterer
bustling           stirring rustling
busyness           engagedness
butcherer          slaughterer killer bungler
butchering         killing bungling
butchery           killy
buttoned           bossed
buttoner           bosser badger
buttony            bossy
buzzer             droner hummer whisperer
buzzing            humming whispering
buzzy              drony whirry whispery
cabled             lined corded
cabler             roper liner corder
cabling            roping lining cording
caged              restrained
cager              penner restrainer
cagey              penny
cajoler            flatterer wheedler coaxer
cajoling           flattering wheedling coaxing
calculating        reckoning counting appraising
calculator         countor
calibrator         graduator
callable           entailable summonable inquirable
callant            inquirant
caller             entailer summoner inquirer requester
calling            inquiring
callously          toughly unfeelingly
callousness        toughness unfeelingness
calmant            coolant
calmer             cooler
calmly             placidly serenely coolly
calmness           placidness sereneness coolness
calmy              cooly
camouflager        disguiser concealer masker
campaigner         planer fighter warrer
canceler           neutralizer
candidly           frankly bluntly
candidness         frankness bluntness
caner              switcher sticker sticker
cannoned           fielded
canonist           codist
cany               switchy sticky sticky
capableness        ableness competentness
capably            ably
caped              mantled cloaked shawled
caperer            leaper prancer
capering           leaping prancing
capitally          excellently
captainly          chiefly
captivating        charming fascinating enchanting
captivator         fascinator
capturable         seizable arrestable grabbable
capturer           seizer apprehender arrester grabber
caravanist         processionist
caravanner         processioner vanner
careener           swayer leaner careerer speeder
career             heeder
carefully          discreetly prudently deliberately
carefulness        discreetness
carelessly         nonchalantly casually negligently
carelessness       casualness
carer              heeder
caresser           fondler peter stroker
caressing          fondling stroking endearing
carouser           feaster reveler debaucher drinker
carousing          drinking
carriageable       coachable
carrying           offing seizing
carver             cutter slicer shaper fashioner
carving            cutting slicing shaping
cased              plighted sheathed
caser              plighter sheather
casing             sheathing
castable           discardable rejectable abandonable
caster             offer discarder molter sheder rejecter abandoner
castigator         corrector
casting            offing shedding
castor             rejector
casualist          accidentalist
casually           accidentally carelessly
casualness         carelessness
catastrophist      upheavalist cataclysmist
catchable          takable seizable overtakable nettable
catcher            taker seizer overtaker lander neter hooker
catching           taking seizing landing netting
catchy             taky netty hooky
caterer            indulger pleasurer
causable           originable
cautioner          heeder
cautiously         shyly carefully watchfully
cautiousness       shyness carefulness watchfulness
cavalierly         knightly
caviler            carper finder faulter taker
caviling           carping finding faulting taking
ceder              yielder relinquisher granter assigner
celestially        divinely
celestialness      divineness
cellarer           vaulter
cellaring          vaulting
celled             caged
cementer           concreter grouter paster
censurable         blamable reproachable judgeable
censurer           blamer reproacher judger
centered           cored
centerer           middler corer hubber
centering          middling coring
certificator       warrantor
chaffer            banterer
chaffy             bantery
chainage           yokeage
chained            ranged connected attached
chainer            ranger yoker attacher
challengeable      questionable
challenger         questioner darer
chambered          roomed
chamberer          roomer
chancer            gambler longer shotter
chancy             shotty
changeable         alterable
changeably         movably variably fickly
changer            alterer
channeled          necked
channeler          ditcher necker canaller tuber
channeling         necking canalling tubing
channelled         necked
channeller         ditcher necker canaller tuber
channelling        necking canalling tubing
characterist       naturalist
charactery         classy naturally
charer             burner singer scorcher searer carbonizer
chargeable         attackable prosecutable requirable sellable
charger            attacker requirer seller
charging           selling
charmer            enchanter
charming           fascinating captivating enchanting
charmingly         sweetly winsomely cutely ravishingly
charmingness       sweetness winsomeness cuteness
charry             burny singey seary
charter            mapper planer
charterable        grantable sanctionable licensable establishable
chartered          licensed established
charterer          granter sanctioner licenser establisher
chartist           mappist
chary              burny singey seary
chasable           pursuable followable huntable
chaseable          pursuable followable huntable
chaser             pursuer follower dispeller
chasing            following hunting
chasmy             rifty fissury
chastely           virtuously purely undefiledly cleanly
chasteness         virtuousness pureness undefiledness cleanness
chastisable        disciplinable
chastiser          chastener discipliner
chatterer          prattler talker gabbler
chattering         prattling talking
chattery           prattly talky
cheaping           cutting rating
cheaply            inexpensively
cheatable          deceivable
cheater            deceiver defrauder
cheating           deceiving
checkable          controllable testable countable
checked            tested
checker            controller tester counter
checky             testy county
cheered            animated
cheerer            animater heartener
cheerfully         joyously
cheerfulness       gayness joyousness
cheering           animating heartening
cheerlessly        dismally bleakly sadly
cheerlessness      dismalness bleakness sadness
cheerly            animately morally
cherishable        nurturable nourishable fosterable
cherisher          nurturer nourisher fosterer
cherishing         nourishing fostering protecting
chester            caser boxer breaster
chesty             boxy
chider             scolder lecturer reprover
chiding            scolding
chiefly            foremostly paramountly
childishly         juvenilely
childishness       juvenileness
chiller            discourager
chilling           discouraging
chilly             aguey
chippable          pieceable
chippage           flakage
chipped            fragmented
chipper            piecer flaker
chipping           piecing
chippy             splintery flaky
chiseler           trimer parer carver
chiselly           trimly parly
chivalrously       gallantly courteously
choicy             picky
choker             strangler garroter stifler
choking            strangling suffocating stifling
choosable          callable decidable electable preferable selectable
chooser            caller decider preferrer
choosing           calling
chopped            cutted hacked
chopper            cutter mincer cleaver loper hacker striker
chopping           cutting mincing cleaving lopping hacking striking
choppy             cutty loppy hacky
christener         baptizer namer
christening        naming
chronicler         recorder describer
chummer            paler
chummy             paly
chunky             lumpy hunky party
churning           whipping seething boiling
cindery            slaggy brandy coaly
cipherable         addable
cipherer           adder
circled            ringed
circler            encircler ringer girdler
circling           ringing girdling
circuitable        compassable
circuiter          circler compasser cycler
circularly         roundly orbicularly
circularness       roundness orbicularness
circulator         distributor
circumventer       foiler outwitter dodger eluder encircler
citable            commendable mentionable quotable summonable
citer              commender quoter summoner
citizenly          natively
citydom            capitaldom
cityness           capitalness
civilizable        educatable cultivatable refinable reclaimable
civilized          educated cultivated refined
civilizer          refiner reclaimer
civilly            courteously politely
civilness          courteousness politeness
claimable          demandable allegeable assertable
claimant           demandant
claimer            demander requisitioner alleger asserter
clamorer           racketer
clamper            griper clasper
clanning           casting
clapper            applauder acclaimer striker slapper banger
clapping           striking slapping banging
clasher            disagreer disputer
clasper            clamper embracer grasper
clasping           embracing grasping
classed            headed
classer            header
classicist         simplist
classy             heady
clawed             taloned hooked
clawer             nailer hooker
cleaner            purer
cleanly            purely spotlessly immaculately
cleanness          pureness spotlessness
cleansable         purgeable refinable cleanable
cleanser           purger refiner scourer swabber cleaner
cleansing          purging refining scouring cleaning
clearer            plainer
clearly            plainly
clearness          plainness
cleavable          stickable holdable
cleavage           stickage
cleaver            sticker holder faster adherer clinger
cleaving           sticking holding fasting clinging
clefted            cracked creviced
cleverly           adroitly skillfully
cleverness         adroitness skillfulness adeptness
clientage          patronage
cliffed            precipiced cragged
cliffy             craggy bluffy steepy
climbable          mountable scalable ascendable succeedable
climber            mounter scaler ascender riser succeeder
climbing           mounting scaling ascending rising succeeding
clincher           confirmer fastener securer riveter clamper
clinger            sticker holder cleaver adherer grasper
clinging           sticking holding cleaving grasping
clingy             sticky
clippable          cuttable
clipped            cutted
clipper            cutter sniper scissorer trimer shortener
clipping           cutting sniping scissoring trimming shortening
cliquedom          clubdom
cliquy             clubby
cloakage           wrappage
cloaked            caped wrapped mantled shielded disguised
cloaking           wrapping mantling shielding disguising
clobberer          punisher defeater
clodder            louter
cloddy             louty sody soily dirty
closed             compacted
closely            compactly densely firmly approximately
closeness          compactness denseness firmness
closer             compacter firmer
clothing           stuffing
clothy             materially stuffy
clotter            lumper blobber thickener
clotty             lumpy clumpy blobby
clouding           hazing overcasting
cloudy             hazy
clubbable          stickable
clubbed            sticked bated
clubber            cudgeler sticker bater
clubbing           sticking bating
clubby             sticky batty
clumpy             clustery bunchy patchy thickety grovy
clustered          grouped
clustering         grouping
clustery           bunchy clumpy
coachable          teachable helpable trainable
coacher            teacher helper tutorer trainer
coaching           teaching helping training
coachy             teachy tutory trainy
coalitioner        alliancer leaguer
coalitionist       unionist
coaly              cindery charcoaly
coarsely           roughly uncouthly rudely crudely vulgarly
